"",BBK01.JB5002,BBK01.JB5002_FLAGS
"",National accounts - private consumption (price adjusted) / Seasonally and working-day adjusted / 1 / 2 / 3 /,
unit,2005=100,
unit multiplier,one,
last update,2014-05-23 08:12:34,
1970-01,45.89,
1970-04,47.03,
1970-07,48.05,
1970-10,48.63,
1971-01,48.74,
1971-04,49.77,
1971-07,50.34,
1971-10,50.98,
1972-01,51.87,
1972-04,52.05,
1972-07,53.07,
1972-10,53.54,
1973-01,53.82,
1973-04,54.53,
1973-07,54.36,
1973-10,54.13,
1974-01,53.71,
1974-04,53.97,
1974-07,54.50,
1974-10,54.39,
1975-01,55.54,
1975-04,55.73,
1975-07,56.30,
1975-10,57.01,
1976-01,57.56,
1976-04,58.04,
1976-07,58.36,
1976-10,59.11,
1977-01,59.87,
1977-04,60.85,
1977-07,61.37,
1977-10,61.55,
1978-01,62.22,
1978-04,62.44,
1978-07,63.84,
1978-10,64.44,
1979-01,64.00,
1979-04,66.36,
1979-07,64.82,
1979-10,65.85,
1980-01,66.19,
1980-04,65.82,
1980-07,66.27,
1980-10,66.15,
1981-01,66.38,
1981-04,65.76,
1981-07,65.74,
1981-10,66.00,
1982-01,65.97,
1982-04,65.37,
1982-07,64.43,
1982-10,65.17,
1983-01,65.72,
1983-04,66.64,
1983-07,65.62,
1983-10,66.58,
1984-01,67.10,
1984-04,67.39,
1984-07,67.72,
1984-10,67.71,
1985-01,67.97,
1985-04,68.46,
1985-07,69.15,
1985-10,69.77,
1986-01,70.37,
1986-04,71.43,
1986-07,71.84,
1986-10,72.20,
1987-01,71.85,
1987-04,73.99,
1987-07,74.31,
1987-10,75.52,
1988-01,73.95,
1988-04,75.63,
1988-07,76.57,
1988-10,76.70,
1989-01,77.25,
1989-04,77.32,
1989-07,78.61,
1989-10,79.82,
1990-01,80.41,
1990-04,81.32,
1990-07,82.10,
1990-10,82.68,
1991-01,84.77,
1991-04,85.88,
1991-07,83.76,
1991-10,86.18,
1992-01,87.66,
1992-04,86.60,
1992-07,86.43,
1992-10,89.81,
1993-01,87.39,
1993-04,87.49,
1993-07,88.62,
1993-10,89.07,
1994-01,89.82,
1994-04,88.83,
1994-07,89.34,
1994-10,90.79,
1995-01,90.64,
1995-04,91.80,
1995-07,91.66,
1995-10,91.71,
1996-01,91.85,
1996-04,92.33,
1996-07,92.68,
1996-10,92.66,
1997-01,92.98,
1997-04,93.47,
1997-07,92.88,
1997-10,93.50,
1998-01,93.95,
1998-04,93.41,
1998-07,94.42,
1998-10,95.32,
1999-01,96.00,
1999-04,95.90,
1999-07,96.30,
1999-10,97.62,
2000-01,97.73,
2000-04,98.75,
2000-07,99.06,
2000-10,98.45,
2001-01,99.81,
2001-04,100.07,
2001-07,100.11,
2001-10,99.49,
2002-01,99.13,
2002-04,98.99,
2002-07,99.21,
2002-10,99.81,
2003-01,99.83,
2003-04,99.63,
2003-07,99.37,
2003-10,99.52,
2004-01,99.69,
2004-04,99.50,
2004-07,99.53,
2004-10,99.92,
2005-01,99.65,
2005-04,99.87,
2005-07,100.15,
2005-10,100.07,
2006-01,100.88,
2006-04,101.20,
2006-07,101.17,
2006-10,102.74,
2007-01,100.45,
2007-04,101.42,
2007-07,101.73,
2007-10,101.70,
2008-01,101.91,
2008-04,101.93,
2008-07,102.07,
2008-10,102.03,
2009-01,102.56,
2009-04,102.69,
2009-07,101.89,
2009-10,102.20,
2010-01,102.38,
2010-04,103.15,
2010-07,103.47,
2010-10,104.25,
2011-01,105.55,
2011-04,104.73,
2011-07,106.18,
2011-10,106.28,
2012-01,106.27,
2012-04,106.27,
2012-07,106.57,
2012-10,106.63,
2013-01,106.91,
2013-04,107.64,
2013-07,107.98,
2013-10,107.66,
2014-01,108.40,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). Data basis according to ESA 95.",
